id,city,county,Address,Latitude and longitude,name,abbreviation,Group_name,capacity,soybean_meal_demand,soybean_meal_origin,delivery_channel,freight_per_ton
ytw-39,南宁市,宾阳县,宾阳县黎塘镇工业集中区石鼓岭园区凤凰路西段南面,"109.138000, 23.207000",广西安佑生物科技有限公司,安佑,安佑生物科技集团股份有限公司全资控股,1,,,,
ytw-40,南宁市,宾阳县,宾阳县黎塘工业园区石鼓岭产业园,"109.149997, 23.188056",宾阳牧原农牧有限公司,牧原,南宁市西乡塘牧原农牧有限公司100%持股（牧原食品间接控股）,2.5,,,,
ytw-41,南宁市,宾阳县,宾阳县黎塘镇建园路5号,"109.139600, 23.191000",广西和盈农牧有限公司,和盈,和盛食品集团有限公司旗下全资子公司,0.3,,,,
ytw-42,南宁市,宾阳县,宾阳县黎塘工业园振园路6号,"109.140711, 23.189653",南宁市宾阳县漓源生物科技有限责任公司,漓源,南宁漓源粮油饲料有限公司持股60%，宾阳恒兴饲料有限公司持股40%,1,,,,
ytw-43,南宁市,宾阳县,宾阳县黎塘工业园区石鼓岭产业园振园路7号,"109.141185, 23.189145",南宁市海利来生物科技有限公司,海利来,广东海大集团股份有限公司持股70%，广西农利来牧业发展有限公司持股30%,1.1,,,,
ytw-44,南宁市,宾阳县,宾阳县黎塘镇宝园路1-6号,"109.154482, 23.188714",宾阳温氏畜牧有限公司,温氏,温氏食品集团股份有限公司100%持股,1,,,,
ytw-45,南宁市,宾阳县,宾阳县黎塘工业集中区石鼓岭产业园凤凰路9号,"109.150046, 23.193674",宾阳海大饲料有限公司,海大,广东海大集团股份有限公司100%持股,1.3,,,,
ytw-46,南宁市,宾阳县,宾阳县黎塘工业集中区石鼓岭产业园,"109.150046, 23.193674",南宁九鼎牧业有限公司,九鼎,湖南九鼎科技（集团）有限公司持股70%，谢先华持股13.6111%，熊火印持股10%，周大刚持股4.4444%，方明持股0.8333%，刘斌持股0.8333%，颜家祺持股0.2778%,,,,,
ytw-47,南宁市,宾阳县,宾阳县黎塘镇振园路5号,"109.141322, 23.190537",宾阳通威饲料有限公司,通威,通威农业发展有限公司100%持股,0.7,,,,
ytw-48,南宁市,宾阳县,宾阳县黎塘镇石鼓岭园区凤凰路11号,"109.150046, 23.193674",广西富丰集团有限公司,富丰,陈继志持股60%，韩秀清持股40%,0.4,,,,
ytw-49,南宁市,武鸣区,南宁市伊岭工业集中区城南工业园（双桥平陆）,"108.301358, 23.077127",南宁武鸣漓源粮油饲料有限公司,武鸣漓源,南宁漓源粮油饲料有限公司100%持股（力源集团间接控股）,1,,,,
ytw-50,南宁市,武鸣区,南宁市武鸣区定罗路8号,"108.278000, 23.149000",广西南宁武鸣利源科技养殖有限公司,利源,桂林力源粮油食品集团有限公司持股85.1591%，黄学宁持股14.8409%,1,,,,
ytw-51,南宁市,武鸣区,广西-东盟经济技术开发区宁武路58号,"108.159353, 23.208580",南宁大北农饲料科技有限责任公司,南宁大北农,北京大北农科技集团股份有限公司100%持股,0.6,,,,
ytw-52,南宁市,武鸣区,南宁-东盟经济开发区武帽实业公司雷花生产队,"108.094352, 23.245851",南宁诚兴农业科技有限责任公司,诚兴,外商投资企业（具体股东未公开披露）,0.3,,,,
ytw-53,南宁市,武鸣区,南宁市武鸣区双桥镇大寨路2号,"108.267000, 23.073000",广西巨农饲料科技有限公司,南宁巨农,广东巨农生物科技有限公司持股70%，谢四海持股30%,0.1,,,,
ytw-54,南宁市,武鸣区,南宁市伊岭工业区B-27号,"108.301358, 23.077127",南宁大川生物科技有限公司,南宁大川,广东海大集团股份有限公司100%持股,0.7,,,,
ytw-55,南宁市,武鸣区,南宁市伊岭工业集中区城南工业园,"108.301358, 23.077127",南宁湘大骆驼饲料有限公司,南宁湘大,广东唐人神产业发展有限公司100%持股,1.3,,,,
ytw-56,南宁市,武鸣区,南宁市武鸣区城厢镇大同村5队坛生屯（恒宁后面）,"108.291101, 23.163545",南宁武鸣牧原农牧有限公司,牧原,南宁市西乡塘牧原农牧有限公司100%持股（牧原食品间接控股）,1,,,,
ytw-57,南宁市,武鸣区,广西-东盟经济技术开发区宁武路6号,"108.196776, 23.207624",南宁双汇食品有限公司,南宁双汇,河南双汇投资发展股份有限公司100%持股,0.7,,,,
ytw-58,南宁市,武鸣区,南宁市伊岭工业集中区城南工业园（双桥平陆）,"108.301358, 23.077127",南宁新希望农牧科技有限公司,南宁新希望,四川新希望六和农牧有限公司持股，广西新希望生猪保供专项产业基金合伙企业（有限合伙）参股,2.6,,,,
ytw-59,桂林市,叠彩区,桂林市叠彩区中山北路122号（原860号）,"110.295000, 25.315659",桂林精成生物科技有限公司,精成生物,南宁漓源粮油饲料有限公司持股51.73%，桂林力源粮油食品集团有限公司持股48.27%,,,,,
ytw-60,桂林市,象山区,桂林市七里店路118号,"110.357074, 25.236721",桂林正大有限公司,正大,正大投资股份有限公司与桂林市星火经济贸易有限公司合资,1.4,,,,
ytw-61,桂林市,雁山区,桂林市雁山区柘木镇奇峰创业园1号,"110.320120, 25.210784",桂林大北农饲料科技有限公司,大北农,南宁大北农饲料科技有限责任公司100%持股（大北农集团间接控股）,0.2,,,,
ytw-62,桂林市,临桂县,临桂县临桂镇乐和村委回龙村（321国道旁）,"110.189865, 25.295260",桂林广东温氏家禽有限公司,温氏家禽,温氏食品集团股份有限公司持股85%，李义俄/李瑜持股15%,1.2,,,,
ytw-63,桂林市,临桂县,临桂区乐和工业园G321国道北侧五拱桥右侧,"110.188949, 25.294679",桂林温氏畜牧有限公司,温氏畜牧,温氏食品集团股份有限公司持股90%，桂林广东温氏家禽有限公司持股10%,,,,,
ytw-64,桂林市,临桂县,临桂区兴临路19号,"110.213260, 25.239420",广西桂林市桂柳家禽有限责任公司,桂柳家禽,高锦、庞美云等自然人持股；广西桂柳牧业集团旗下核心企业,,,,,
ytw-65,桂林市,临桂县,桂林市临桂区临桂镇老街1号,"110.534840, 24.923530",临桂漓源粮油饲料有限责任公司,临桂漓源,桂林力源粮油食品集团有限公司持股86.7167%，广西宁铁资产投资开发有限公司持股13.2833%,,,,,
ytw-66,桂林市,兴安县,桂林市兴安县工业集中区C2区5号,"110.689345, 25.648315",桂林正大有限公司兴安分公司,正大,正大投资股份有限公司全资子公司（分公司）,1.9,,,,
ytw-67,桂林市,兴安县,兴安县工业园桂兴村,"110.653595, 25.632706",兴安双胞胎饲料有限公司,双胞胎,江西双胞胎投资有限公司持股75%，嘉美（中国）有限公司持股25%,,,,,
ytw-68,桂林市,兴安县,兴安县工业集中区C区,"110.671040, 25.625536",广西兴安县扬翔饲料有限公司,扬翔,北京扬翔投资有限公司100%持股,,,,,
ytw-69,桂林市,灵川县,灵川县灵川镇下日田新村,"110.332738, 25.415437",桂林新希望饲料有限公司,新希望,四川南方希望实业有限公司（新希望）持股75%，EXCEPTIONAL ASSETS LIMITED持股25%,1.3,,,,
ytw-70,桂林市,灵川县,灵川县八里街工业园区货运大道以南,"110.308000, 25.407000",桂林市漓源粮油饲料有限责任公司,桂林漓源,桂林力源粮油食品集团有限公司持股55.1566%，力源集团工会委员会持股44.8434%,,,,,
ytw-71,桂林市,灵川县,灵川县灵川镇老圩村,"110.306800, 25.403600",灵川县力源物流有限公司,灵川力源,桂林市漓源粮油饲料有限责任公司持股50%，桂林力源粮油食品集团有限公司持股50%,,,,,
ytw-72,玉林市,兴业县,兴业县大平山镇机械产业园区,"109.995000, 22.665000",玉林湘大骆驼饲料有限公司,湘大,广东唐人神产业发展有限公司100%持股（唐人神集团间接控股）,0.8,,,,
ytw-73,玉林市,兴业县,兴业县石南镇环西路221号,"109.863056, 22.738889",广西玉林市广东温氏家禽有限公司,温氏家禽,温氏食品集团股份有限公司持股80%，黄承南、梁有强各持股10%,1.7,,,,
ytw-74,玉林市,兴业县,兴业县石南镇六联工业区,"109.879936, 22.777073",广西温氏畜牧有限公司,温氏畜牧,温氏食品集团股份有限公司、广东华农温氏畜牧股份有限公司、广西玉林市广东温氏家禽有限公司共同持股,1.1,,,,
ytw-75,玉林市,兴业县,兴业县大平山镇大苏村国道324线北侧,"110.000612, 22.665951",玉林国雄饲料有限公司,国雄,四川新希望六和农牧有限公司持股70.2584%，广西新希望生猪保供专项产业基金合伙企业（有限合伙）持股29.7416%,1.7,,,,
ytw-76,玉林市,兴业县,兴业县大平山镇工业区,"109.962700, 22.682900",广西春茂农牧集团有限公司,春茂,广西春茂投资股份有限公司100%持股；实际控制人全春茂控股61%,0.8,,,,
ytw-77,玉林市,兴业县,兴业县石南镇岭尾坡玉贵公路西南侧（现：玉贵路693号）,"109.884667, 22.757037",广西兴余农牧有限公司,兴余,广西翔丰农牧有限公司持股65%，广西耀发农牧发展有限公司持股35%,0.8,,,,
ytw-78,玉林市,兴业县,玉林市玉州区名山街道长望社区温塘村长古岭旁,"110.226150, 22.639805",广西玉林旺瑶养殖有限公司,旺瑶,黄维升、杨文森等自然人股东持股,0.1,,,,
ytw-79,玉林市,兴业县,兴业县大平山镇大苏村路口,"109.962679, 22.682925",玉林市中吉农牧发展有限公司,中吉,林国文、林建仙各持股50%,0.1,,,,
ytw-80,玉林市,兴业县,兴业县大平山机械产业园,"109.962679, 22.682925",玉林市新辉饲料有限公司,新辉,茂名市新辉饲料有限公司持股51%，赖剑锋等自然人股东持股49%,0.7,,,,
ytw-81,玉林市,兴业县,兴业县大平山镇工业园内,"109.962679, 22.682925",玉林柳新饲料有限公司,柳新,桂林力源粮油食品集团有限公司100%持股,2,,,,
ytw-82,玉林市,玉州区,玉林市经济开发区内,"110.188453, 22.659831",玉林新希望饲料有限公司,新希望,广东嘉好农产品有限公司持股75%，英国埃森公司持股25%；2024年股东由四川新希望六和农牧有限公司变更,1.1,,,,
ytw-83,玉林市,玉州区,玉林市城站路竹美中村146号办公楼,"110.155162, 22.619698",玉林漓源畜禽饲料有限公司,玉林漓源,玉林漓源饲料有限公司100%持股；曾用名“玉林响亮畜禽机械有限公司”，2018年更名,2.5,,,,
ytw-84,玉林市,玉州区,玉林市城西塘步岭立交桥南岭背垌,"110.125000, 22.652000",广西玉林市参皇养殖有限公司,参皇,曾用名“广西玉林市参皇养殖有限公司”；法定代表人唐传志，注册资本5895万元；拥有饲料厂三座，年生产配合饲料18万吨,1,,,,
ytw-85,玉林市,福绵区,玉林市福绵管理区新桥镇养心村,"110.079000, 22.566000",广西玉林市鑫坚饲料有限公司,鑫坚,广西玉林市鑫坚种养有限公司持股60%，王剑持股40%；注册资本8000万元，2024年员工344人，主营淡水鱼饲料,0.3,,,,
ytw-86,玉林市,北流市,北流市日用陶瓷工业园（民安镇兴上村大车堡）,"110.405000, 22.747000",北流市响亮饲料有限公司,响亮,桂林力源粮油食品集团有限公司100%持股，注册资本3000万元；2016年5月建成年产饲料24万吨生产线投产,2.5,,,,
ytw-87,玉林市,陆川县,玉林市陆川县珊罗镇六燕村,"110.188000, 22.576000",玉林双胞胎饲料有限公司,双胞胎,江西双胞胎投资有限公司持股75%，弘涛投资（新加坡）有限公司持股25%；注册资本800万元，年产值16亿元,4,,,,
ytw-88,玉林市,陆川县,玉林市陆川县珊罗镇六燕村北部工业集中区陆业中路,"110.186636, 22.567517",玉林星顺饲料有限公司,玉林星顺,江西双胞胎投资有限公司100%持股，注册资本100万元；成立于2025年8月，与玉林双胞胎同属双胞胎集团,1,,,,
ytw-89,玉林市,陆川县,玉林市陆川县北部工业集中区,"110.184000, 22.570000",玉林海大饲料有限公司,玉林海大,广东海大集团股份有限公司100%持股；注册资本9500万元，2021年9月投产，年生产能力42万吨,2.5,,,,
ytw-90,玉林市,陆川县,广西陆川县良田镇,"110.228000, 22.158000",陆川县广东温氏畜禽有限公司,陆川温氏,温氏食品集团股份有限公司持股80%，广西玉林市广东温氏家禽有限公司持股20%；注册资本1600万元,1.5,,,,
ytw-91,玉林市,陆川县,陆川县珊罗镇六燕村（陆川北部工业园区）,"110.190000, 22.578000",广西陆川新天地饲料有限公司,新天地,广西新天地农牧集团有限公司100%持股；注册资本100万元，2024年营业收入12.41亿元，员工121人,3.5,,,,
ytw-92,玉林市,陆川县,陆川县龙豪物流工业园,"110.258000, 22.335000",陆川九鼎牧业有限公司,九鼎,湖南九鼎科技（集团）有限公司控股,0.3,,,,
ytw-93,贵港市,港北区,贵港市白沟井（市农科所旁）,"109.551100, 23.128900",贵港瑞康饲料有限公司,瑞康,广西扬翔集团股份有限公司100%持股，注册资本100000万元,7,,,,
ytw-94,贵港市,港北区,广西贵港市西江农场,"109.552000, 23.151000",广西农垦永新畜牧集团西江有限公司,农垦西江,广西农垦永新畜牧集团有限公司持股73.4609%，广西农垦西江农场有限公司持股26.5391%,,,,,
ytw-95,贵港市,港北区,贵港（台湾）产业园进港二路南侧、沿江三路西侧,"109.415833, 23.080278",贵港市海大饲料有限公司,贵港海大,广东海大集团股份有限公司100%持股，注册资本500万元；2014年6月投产，年生产能力67万吨,2.6,,,,
ytw-96,贵港市,港北区,贵港市产业园石卡园,"109.558900, 22.997900",贵港海龙生物科技有限公司,贵港海龙,广东海大集团全资子公司，2023年3月注册成立；年产40万吨生物配合饲料项目，2025年12月一期投产,2,,,,
ytw-97,贵港市,平南县,广西贵港市平南县临江工业园区三支线与北二路交汇地段,"110.398500, 23.545500",平南海大饲料有限公司,海大,广州市益豚猪业投资有限公司100%持股，注册资本10000万元；2019年成立，总投资1.03亿元,1.3,,,,
ytw-98,贵港市,平南县,平南县工业园区临江产业园,"110.396000, 23.545000",广西金苹果饲料有限公司,金苹果,江西双胞胎投资有限公司持股90%，另有一自然人股东持股10%；双胞胎集团旗下子公司,2.9,,,,
ytw-99,贵港市,港南区,贵港市江南工业园A区,"109.675900, 23.048000",贵港市漓源饲料有限公司,漓源,隶属桂林力源粮油食品集团，注册资本3500万元；2012年6月投产，年生产全价配合饲料36万吨，2021年产值达10亿元,,,,,
ytw-100,贵港市,港南区,贵港市江南工业园A区,"109.676500, 23.047500",贵港市汇海农牧科技有限公司,汇海,广东汇海科技集团旗下子公司，注册资本1000万元,0.4,,,,
ytw-101,贵港市,港南区,贵港市产业园区（江南园）南二路与工业一路交汇处东北角,"109.675900, 23.048800",贵港市南盈饲料有限公司,南盈,广州南盈投资有限公司100%持股（广东南宝集团关联企业），注册资本3000万元；2021年初正式投产,1,,,,
ytw-102,贵港市,港南区,广西壮族自治区贵港市产业园区（江南园）城南大道与西区三路交汇处西南角,"109.675870, 23.048020",广西加大饲料有限公司,加大,江西加大集团有限公司100%持股，注册资本3000万元；年产24万吨饲料项目于2021年12月竣工,0.2,,,,
ytw-103,贵港市,港南区,广西贵港市港南区江南大道108号,"109.675900, 23.047000",贵港市万千饲料有限责任公司,万千,成都华西希望农业科学技术研究所有限公司100%持股；1998年由华西希望集团投资兴建，年产饲料20万吨,0.4,,,,
ytw-104,贵港市,港南区,广西壮族自治区贵港市港南区八塘镇建设西路168号（横岭开发区）,"109.675900, 23.046200",贵港湘大骆驼饲料有限公司,湘大,南宁湘大骆驼饲料有限公司全资子公司，成立于2024年2月；唐人神集团旗下，厂房设备为租赁性质,0.55,,,,
ytw-105,钦州市,钦北区皇马工业园,钦州市钦北区皇马工业园四区,"108.657800, 22.089000",钦州湘大骆驼饲料有限公司,湘大,广东唐人神产业发展有限公司100%持股，注册资本5200万元；2019年建成投产，年产能最高达36万吨,1.03,,,,
ytw-106,钦州市,钦北区皇马工业园,钦州市皇马工业园区四区,"108.654000, 22.087000",钦州大北农饲料科技有限公司,大北农,南宁大北农饲料科技有限责任公司100%持股，注册资本4000万元，成立于2014年3月,0.6,,,,
ytw-107,钦州市,钦北区皇马工业园,广西钦州市钦北区大垌镇皇马工业集中区一区,"108.650000, 22.095000",金钱农牧（广西）有限公司,金钱,GC INVESTMENT HOLDINGS LIMITED 100%持股（港澳台法人独资），瑞士金钱集团旗下，注册资本2000万元，成立于2020年10月,0.2,,,,
ytw-108,钦州市,钦北区皇马工业园,钦州市皇马工业园四区,"108.656000, 22.088000",钦州双胞胎饲料有限公司,双胞胎,双胞胎（集团）股份有限公司持股75%，弘涛投资（新加坡）有限公司持股25%，注册资本400万元，2013年1月投产,2.8,,,,
ytw-109,钦州市,钦北区皇马工业园,钦州市钦北区皇马工业园4区,"108.658000, 22.089000",钦州新天地饲料有限公司,新天地,广西新天地农牧集团有限公司持股60%，南宁市振林饲料有限公司持股40%，成立于2014年3月,1.9,,,,
ytw-110,钦州市,钦北区皇马工业园,钦州市皇马工业园四区,"108.659200, 22.089200",钦州海龙饲料有限公司,海龙,广东海大集团股份有限公司100%持股，注册资本4000万元，2022年9月正式投产，年设计产能30余万吨猪料,1.8,,,,
ytw-111,钦州市,钦北区皇马工业园,钦州市钦北区皇马工业园四区,"108.659000, 22.090000",钦州播恩生物技术有限公司,播恩,播恩集团股份有限公司100%持股，成立于2019年10月，2024年1月正式投产，致力打造广西生物饲料第一工厂,0.8,,,,
ytw-112,钦州市,钦北区皇马工业园,钦州市皇马工业园区一区,"108.640000, 22.105000",钦州市漓源粮油饲料有限公司,钦州漓源,桂林力源粮油食品集团有限公司100%持股，注册资本3169.2万元，成立于2010年2月，占地50亩,2.5,,,,
ytw-113,钦州市,钦北区皇马工业园,钦州市钦北区皇马工业园三区,"108.645000, 22.100000",钦州九联粮油饲料有限公司,九联,桂林力源粮油食品集团有限公司持股60%，钦州九联养殖有限公司持股40%，注册资本5000万元,2.5,,,,
ytw-114,钦州市,钦北区皇马工业园,钦州市钦北区皇马工业区三区钦州桂柳牧业有限公司厂区,"108.647404, 22.093004",钦州海大桂柳生物科技有限公司,海大桂柳,广东海大集团股份有限公司持股70%，钦州桂柳牧业有限公司持股30%，注册资本3000万元,1.2,,,,
ytw-115,钦州市,浦北县,广西钦州市浦北县张黄镇工业园区,"109.466709, 22.014003",浦北漓源饲料有限公司,浦北漓源,桂林力源粮油食品集团有限公司全资持股，注册资本3000万元（实缴），成立于2019年7月,2.5,,,,
ytw-116,钦州市,灵山县,灵山县灵城镇江南路东,"109.044855, 22.285298",广西园丰牧业集团股份有限公司,园丰,自然人持股的股份有限公司（非上市），注册资本15080万元，三大股东合计持股100%，法定代表人潘夏雨，农业产业化国家重点龙头企业,2.3,,,,
ytw-117,钦州市,钦南区金窝工业园,钦州市钦南区金窝工业园一区,"108.724611, 21.827606",钦州祥源饲料有限公司,祥源,南宁漓源粮油饲料有限公司持股49%，广西五祥农牧科技集团有限责任公司持股51%，成立于2022年11月,2.5,,,,
ytw-118,钦州市,钦南区金窝工业园,钦州市钦南区大番坡镇金犀一路2号,"108.721000, 21.824000",钦州市钦南区漓源饲料有限公司,钦南漓源,桂林力源粮油食品集团有限公司100%持股，曾用名“钦州市响亮饲料有限公司”，2018年4月投产，年产30万吨,2.5,,,,
ytw-119,钦州市,钦南区金窝工业园,钦州市钦南区大番坡镇金窝工业园金犀一路8号,"108.718000, 21.821000",广西漓源水产饲料有限公司,漓源水产,桂林力源粮油食品集团有限公司100%持股，注册资本8000万元，成立于2019年4月,2.5,,,,
ytw-120,钦州市,钦南区金窝工业园,钦州市钦南区金窝工业园,"108.719900, 21.818200",广西海大饲料有限公司,海大,广东海大集团股份有限公司100%持股，成立于2007年12月，一期总投资1.2亿元，年设计产能24万吨,1.8,,,,
ytw-121,钦州市,钦南区金窝工业园,钦州市钦南区金窝工业园区,"108.723137, 21.783081",钦州海维饲料有限公司,海维,广东海大集团股份有限公司100%持股，注册资本3500万元，成立于2021年1月,1.8,,,,
ytw-122,钦州市,钦南区金窝工业园,钦州市钦南区金窝工业园（一区）,"108.718200, 21.819100",广西德洋饲料科技有限公司,德洋,广西德洋农牧集团有限公司100%持股，注册资本1000万元，成立于2020年3月，项目总投资8000万元,0.25,,,,
